,sp500_Close,sp500_Volume,vix_Close,vix_Volume,dji_Close,dji_Volume,ndx_Close,ndx_Volume,n225_Close,n225_Volume,ftse_Close,ftse_Volume,hsi_Close,hsi_Volume,n100_Close,n100_Volume,Overall EMV Tracker,infectious_daily_infect_emv_index,GPR,trade_US Trade Policy Uncertainty,trade_Japanese Trade Policy Uncertainty,trade_Trade Policy EMV Fraction
2000-01-07,1441.469971,1225200000.0,21.719999,0.0,11522.55957,184900000.0,3529.600098,1634930000.0,18193.410156,0.0,6504.799805,888306000.0,15405.629883,0.0,943.880005,0.0,29.389907836914062,0.0,38.11518621681187,71.75382641931854,84.03812830036343,0.03331237046686261
2000-01-14,1465.150024,1085900000.0,19.66,0.0,11722.980469,266830000.0,3704.73999,1656630000.0,18956.550781,0.0,6658.200195,1098626000.0,15542.230469,0.0,973.859985,0.0,29.389907836914062,0.0,38.11518621681188,71.75382641931853,84.03812830036343,0.03331237046686261
2000-01-21,1441.359985,1209800000.0,20.82,0.0,11251.709961,205840000.0,3849.959961,1923680000.0,18878.089844,0.0,6346.299805,1007934000.0,15108.410156,0.0,951.51001,0.0,29.389907836914062,0.0,38.11518621681188,71.75382641931853,84.03812830036341,0.03331237046686261
2000-01-28,1360.160034,1095800000.0,26.139999,0.0,10738.870117,183090000.0,3446.129883,1616370000.0,19434.779297,0.0,6375.600098,918227000.0,16185.94043,0.0,948.210022,0.0,24.412899017333984,0.0,38.11518621681188,71.91424718351676,117.57714600754619,0.03357314148681055
2000-02-04,1424.369995,1045100000.0,21.540001,0.0,10963.799805,166590000.0,3874.370117,1751450000.0,19763.130859,0.0,6185.0,2309287000.0,16336.170410166667,0.0,1010.429993,0.0,31.56374168395996,0.75,38.11518621681188,84.47326091242597,83.36536608179303,0.03386717895139314
2000-02-11,1387.119995,1025700000.0,24.42,0.0,10425.209961,193540000.0,3968.889893,1738590000.0,19601.7415365,0.0,6193.299805,3433671000.0,17380.300781,0.0,1014.169983,0.0,31.926047325134277,0.74,38.11518621681188,86.59316666127721,83.25323904536462,0.03395964703214823
2000-02-18,1346.089966,1042300000.0,26.0,0.0,10219.519531,208930000.0,3965.75,1898410000.0,19789.029297,0.0,6165.0,1098726000.0,16599.160156,0.0,992.530029,0.0,32.34873723983765,0.0,38.11518621681188,89.06639003493699,83.1224241695315,0.03406752645969583
2000-02-25,1333.359985,1065200000.0,25.200001,0.0,9862.120117,195240000.0,4178.580078,1825500000.0,19817.880859,0.0,6198.0,1181230000.0,17200.980469,0.0,1004.719971,0.0,33.67137694358826,0.0,38.11518621681188,91.92508051017369,77.37997052986238,0.034149923955176714
2000-03-03,1409.170044,1150300000.0,19.209999,0.0,10367.200195,210460000.0,4442.870117,2136530000.0,19927.539063,0.0,6487.5,1107792000.0,17285.240234,0.0,1042.400024,0.0,34.02264948685964,0.0,38.11518621681188,93.16705044313164,76.3824046045406,0.034197048122473976
2000-03-10,1395.069946,1138800000.0,21.24,0.0,9928.820313,197440000.0,4587.160156,1992170000.0,19750.400391,0.0,6568.700195,1005534000.0,17831.859375,0.0,1045.27002,0.0,34.37208318048054,0.0,38.11518621681188,94.26269774010738,75.23726553106994,0.0342366149708616
